binned_LNs_examined,# LNs examined,# LNs +,# LN specimens,Count
1,4.0,0.7142857142857143,1.4285714285714286,7
2,8.538461538461538,0.3076923076923077,3.4615384615384617,13
3,13.066666666666666,0.4222222222222222,3.577777777777778,45
4,18.18918918918919,1.837837837837838,4.486486486486487,37
5,22.647058823529413,1.411764705882353,4.352941176470588,34
6,27.444444444444443,0.5,5.944444444444445,18
7,33.27272727272727,4.454545454545454,7.090909090909091,11
8,38.888888888888886,0.1111111111111111,8.11111111111111,9
9,43.666666666666664,3.0,11.333333333333334,6
10,47.6,0.1,11.7,10
11,62.9,5.4,13.8,10
